Puertos;Servicio;Nivel
21;FTP;4
22;SSH;3
23;Telnet;5
53;DNS;3
69;TFTP;4
80;HTTP;2
111;SunRPC;5
123;NTP;1
135;MSRPC;5
161;SNMP;3
443;HTTPS;1
444;webex;1
515;printer;3
554;MS-RTSP;3
631;ipp;0
1010;thinklinc;4
1723;PPTP;3
2000;callbook;0
2002;troyanos;5
2003;multiples;4
2222;Multiples;3
3000;varios;2
3306;mysql;4
3389;MSRDP;4
3702;WSD;3
5323;N/A;0
5432;aplicaciones;4
6003;apliacaiones;3
6881;aplicaciones;0
7443;oracleaas-https;3
8000;multiples;5
8080;http-alt;3
8090;http-alt-alt;4
8181;MULTIPLEs;0
8291;miktrotik;3
8880;unifi;3
8888;aplicaciones;3
9002;dynamid;0
9020;sunrfcontrol;1
9080;aplicaciones;0
9100;MULTIPLES;0
9998;aplicaciones;2
37777;aplicaciones;3
49152;aplicaciones;0
49153;aplicaciones;0
445;tcp/udp;5
